year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1958,Ice cream,273843,Total domestic disappearance,16.03,3,Kilolitres,,,,
1959,Total dairy products,7077043,Total domestic disappearance,408.75,5,Kilolitres,,,,
1959,Fluid products,2672710,Total domestic disappearance,156.83,12,Kilolitres,,,,
1959,Butter,3237024,Total domestic disappearance,185.15,2,Kilolitres,,,,
1959,Cheese,519458,Total domestic disappearance,29.71,7,Kilolitres,,,,
1959,Concentrated whole milk products,348163,Total domestic disappearance,19.92,5,Kilolitres,,,,
1959,Ice cream,299688,Total domestic disappearance,17.14,10,Kilolitres,,,,
1960,Total dairy products,6966178,Total domestic disappearance,393.65,12,Kilolitres,,,,
1960,Fluid products,2654425,Total domestic disappearance,152.36,7,Kilolitres,,,,
1960,Butter,3091335,Total domestic disappearance,172.99,12,Kilolitres,,,,
1960,Cheese,546739,Total domestic disappearance,30.59,2,Kilolitres,,,,
1960,Concentrated whole milk products,366929,Total domestic disappearance,20.53,6,Kilolitres,,,,
1960,Ice cream,306750,Total domestic disappearance,17.17,3,Kilolitres,,,,
1961,Total dairy products,6889406,Total domestic disappearance,381.42,10,Kilolitres,,,,
1961,Fluid products,2603127,Total domestic disappearance,146.41,3,Kilolitres,,,,
1961,Butter,3061925,Total domestic disappearance,167.89,13,Kilolitres,,,,
1961,Cheese,583284,Total domestic disappearance,31.98,5,Kilolitres,,,,
1961,Concentrated whole milk products,354718,Total domestic disappearance,19.45,11,Kilolitres,,,,
1961,Ice cream,286352,Total domestic disappearance,15.7,13,Kilolitres,,,,
1962,Total dairy products,7228624,Total domestic disappearance,392.61,2,Kilolitres,,,,
1962,Fluid products,2602801,Total domestic disappearance,143.68,0,Kilolitres,,,,
1962,Butter,3382929,Total domestic disappearance,182.04,8,Kilolitres,,,,
1962,Cheese,643853,Total domestic disappearance,34.65,14,Kilolitres,,,,
1962,Concentrated whole milk products,362895,Total domestic disappearance,19.53,1,Kilolitres,,,,
1962,Ice cream,236145,Total domestic disappearance,12.71,3,Kilolitres,,,,
1963,Total dairy products,7582375,Total domestic disappearance,403.41,6,Kilolitres,,,,
1963,Fluid products,2627980,Total domestic disappearance,142.15,13,Kilolitres,,,,
1963,Butter,3684677,Total domestic disappearance,194.3,7,Kilolitres,,,,
1963,Cheese,676133,Total domestic disappearance,35.65,12,Kilolitres,,,,
1963,Concentrated whole milk products,373630,Total domestic disappearance,19.7,5,Kilolitres,,,,
1963,Ice cream,219955,Total domestic disappearance,11.6,9,Kilolitres,,,,
1964,Total dairy products,7688232,Total domestic disappearance,401.37,1,Kilolitres,,,,
1964,Fluid products,2660849,Total domestic disappearance,141.23,9,Kilolitres,,,,
1964,Butter,3734023,Total domestic disappearance,193.22,1,Kilolitres,,,,
1964,Cheese,716637,Total domestic disappearance,37.08,4,Kilolitres,,,,
1964,Concentrated whole milk products,360900,Total domestic disappearance,18.67,6,Kilolitres,,,,
1964,Ice cream,215823,Total domestic disappearance,11.17,5,Kilolitres,,,,
1965,Total dairy products,7754470,Total domestic disappearance,397.53,13,Kilolitres,,,,
1965,Fluid products,2679129,Total domestic disappearance,139.61,10,Kilolitres,,,,
1965,Butter,3710426,Total domestic disappearance,188.56,13,Kilolitres,,,,
1965,Cheese,768087,Total domestic disappearance,39.03,3,Kilolitres,,,,
1965,Concentrated whole milk products,360178,Total domestic disappearance,18.3,13,Kilolitres,,,,
1965,Ice cream,236649,Total domestic disappearance,12.03,8,Kilolitres,,,,
1966,Total dairy products,7669611,Total domestic disappearance,385.86,13,Kilolitres,,,,
1966,Fluid products,2638823,Total domestic disappearance,134.95,12,Kilolitres,,,,
1966,Butter,3619589,Total domestic disappearance,180.53,9,Kilolitres,,,,
1966,Cheese,780193,Total domestic disappearance,38.91,10,Kilolitres,,,,
1966,Concentrated whole milk products,350607,Total domestic disappearance,17.48,13,Kilolitres,,,,
1966,Ice cream,280399,Total domestic disappearance,13.99,13,Kilolitres,,,,
